 TITLE="SURFACE DATA."
 variables="z","Theta","P","U","V","W","T","M"
 ZONE T="POST", I=     1, J=   200, K=   120
 0.151480925D+01  0.653713747D-01 -0.365390658D+00 -0.338813179D-20 -0.433680869D-18  0.000000000D+00  0.100000000D+01  0.254659772D+01
 0.151428223D+01  0.755117746D-01 -0.363747895D+00  0.000000000D+00 -0.433680869D-18  0.000000000D+00  0.100000000D+01  0.245220637D+01
 0.151374698D+01  0.858368893D-01 -0.362166137D+00  0.271050543D-19  0.000000000D+00  0.433680869D-18  0.100000000D+01  0.236550140D+01
 0.151320887D+01  0.963484446D-01 -0.360644370D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.228636074D+01
 0.151267195D+01  0.107049006D+00 -0.359180719D+00  0.271050543D-19  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.221442366D+01
 0.151213908D+01  0.117942030D+00 -0.357772559D+00 -0.271050543D-19  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.214905524D+01
 0.151161301D+01  0.129031515D+00 -0.356416702D+00 -0.135525272D-19  0.000000000D+00 -0.433680869D-18  0.100000000D+01  0.208942699D+01
 0.151109552D+01  0.140322047D+00 -0.355109394D+00 -0.677626358D-19 -0.433680869D-18  0.433680869D-18  0.100000000D+01  0.203452706D+01
 0.151058841D+01  0.151818817D+00 -0.353846520D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.198321295D+01
 0.151009321D+01  0.163527340D+00 -0.352623522D+00  0.135525272D-19  0.000000000D+00 -0.867361738D-18  0.100000000D+01  0.193429887D+01
 0.150961101D+01  0.175453711D+00 -0.351435721D+00  0.000000000D+00  0.000000000D+00  0.433680869D-18  0.100000000D+01  0.188663828D+01
 0.150914311D+01  0.187604396D+00 -0.350278288D+00  0.271050543D-19 -0.216840434D-18 -0.433680869D-18  0.100000000D+01  0.183909190D+01
 0.150869048D+01  0.199986708D+00 -0.349146277D+00 -0.271050543D-19 -0.216840434D-18  0.433680869D-18  0.100000000D+01  0.179070735D+01
 0.150825393D+01  0.212608339D+00 -0.348034918D+00  0.542101086D-19 -0.216840434D-18 -0.433680869D-18  0.100000000D+01  0.174068427D+01
 0.150783408D+01  0.225477643D+00 -0.346939534D+00  0.271050543D-19  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.168846142D+01
 0.150743198D+01  0.238603264D+00 -0.345855743D+00 -0.271050543D-19  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.163368213D+01
 0.150704813D+01  0.251994588D+00 -0.344779044D+00 -0.813151629D-19  0.000000000D+00  0.433680869D-18  0.100000000D+01  0.157623971D+01
 0.150668323D+01  0.265661389D+00 -0.343706936D+00  0.000000000D+00  0.000000000D+00 -0.433680869D-18  0.100000000D+01  0.151627147D+01
 0.150633800D+01  0.279614169D+00 -0.342644304D+00 -0.271050543D-19  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.145382977D+01
 0.150601315D+01  0.293863774D+00 -0.341578990D+00  0.000000000D+00  0.000000000D+00 -0.433680869D-18  0.100000000D+01  0.138808060D+01
 0.150570929D+01  0.308421985D+00 -0.340504050D+00  0.000000000D+00 -0.108420217D-18  0.216840434D-18  0.100000000D+01  0.131990671D+01
 0.150542700D+01  0.323300940D+00 -0.339428872D+00  0.135525272D-19  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.125130177D+01
 0.150516701D+01  0.338513904D+00 -0.338352591D+00  0.135525272D-19 -0.108420217D-18  0.433680869D-18  0.100000000D+01  0.118295324D+01
 0.150492990D+01  0.354074102D+00 -0.337275952D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.111559117D+01
 0.150471628D+01  0.369996395D+00 -0.336201280D+00  0.542101086D-19 -0.108420217D-18 -0.216840434D-18  0.100000000D+01  0.104990161D+01
 0.150452697D+01  0.386295840D+00 -0.335132420D+00  0.542101086D-19 -0.108420217D-18  0.000000000D+00  0.100000000D+01  0.986501992D+00
 0.150436235D+01  0.402988775D+00 -0.334075212D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.925958693D+00
 0.150422335D+01  0.420092109D+00 -0.333037823D+00  0.000000000D+00 -0.108420217D-18  0.216840434D-18  0.100000000D+01  0.868873119D+00
 0.150411057D+01  0.437624105D+00 -0.332031220D+00 -0.406575815D-19  0.108420217D-18 -0.433680869D-18  0.100000000D+01  0.816113293D+00
 0.150402463D+01  0.455603576D+00 -0.331069469D+00  0.271050543D-19 -0.542101086D-19  0.216840434D-18  0.100000000D+01  0.769156277D+00
 0.150396633D+01  0.474051048D+00 -0.330169976D+00 -0.271050543D-19  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.730510592D+00
 0.150393641D+01  0.492987604D+00 -0.329353511D+00  0.271050543D-19 -0.542101086D-19  0.000000000D+00  0.100000000D+01  0.703999579D+00
 0.150393558D+01  0.512436096D+00 -0.328643650D+00  0.542101086D-19 -0.271050543D-19  0.108420217D-18  0.100000000D+01  0.694522917D+00
 0.150396454D+01  0.532420758D+00 -0.328065932D+00  0.162630326D-18  0.135525272D-19  0.000000000D+00  0.100000000D+01  0.706830680D+00
 0.150402343D+01  0.552968076D+00 -0.327646166D+00  0.108420217D-18 -0.271050543D-19  0.000000000D+00  0.100000000D+01  0.743520379D+00
 0.150411272D+01  0.574105618D+00 -0.327408552D+00  0.000000000D+00  0.542101086D-19 -0.108420217D-18  0.100000000D+01  0.803436041D+00
 0.150423276D+01  0.595863055D+00 -0.327373266D+00  0.216840434D-18 -0.542101086D-19  0.108420217D-18  0.100000000D+01  0.881623387D+00
 0.150438404D+01  0.618271351D+00 -0.327554077D+00 -0.216840434D-18 -0.542101086D-19  0.000000000D+00  0.100000000D+01  0.970629334D+00
 0.150456679D+01  0.641363653D+00 -0.327956647D+00  0.000000000D+00  0.108420217D-18  0.000000000D+00  0.100000000D+01  0.106207085D+01
 0.150478149D+01  0.665174812D+00 -0.328578025D+00  0.000000000D+00 -0.216840434D-18 -0.542101086D-19  0.100000000D+01  0.114781046D+01
 0.150502860D+01  0.689741721D+00 -0.329407066D+00  0.216840434D-18 -0.108420217D-18  0.000000000D+00  0.100000000D+01  0.122082114D+01
 0.150530851D+01  0.715103400D+00 -0.330428541D+00 -0.216840434D-18  0.108420217D-18  0.000000000D+00  0.100000000D+01  0.127562678D+01
 0.150562167D+01  0.741301131D+00 -0.331622094D+00  0.433680869D-18  0.433680869D-18 -0.135525272D-19  0.100000000D+01  0.130895650D+01
 0.150596881D+01  0.768378494D+00 -0.332975298D+00  0.000000000D+00  0.433680869D-18  0.677626358D-20  0.100000000D+01  0.131917179D+01
 0.150635028D+01  0.796381291D+00 -0.334482729D+00  0.216840434D-18  0.216840434D-18  0.000000000D+00  0.100000000D+01  0.130653393D+01
 0.150676680D+01  0.825357922D+00 -0.336151123D+00  0.000000000D+00  0.216840434D-18  0.000000000D+00  0.100000000D+01  0.127316928D+01
 0.150721884D+01  0.855359508D+00 -0.338001162D+00  0.216840434D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.122142088D+01
 0.150770736D+01  0.886439624D+00 -0.340063870D+00  0.000000000D+00  0.108420217D-18 -0.108420217D-18  0.100000000D+01  0.115378571D+01
 0.150823283D+01  0.918654363D+00 -0.342387259D+00  0.000000000D+00  0.000000000D+00 -0.108420217D-18  0.100000000D+01  0.107267416D+01
 0.150879622D+01  0.952062726D+00 -0.345027387D+00  0.216840434D-18 -0.108420217D-18  0.108420217D-18  0.100000000D+01  0.980585635D+00
 0.150939786D+01  0.986726961D+00 -0.348046929D+00  0.000000000D+00 -0.216840434D-18 -0.108420217D-18  0.100000000D+01  0.882259667D+00
 0.151003826D+01  0.102271247D+01 -0.351511061D+00 -0.216840434D-18  0.108420217D-18 -0.216840434D-18  0.100000000D+01  0.789962173D+00
 0.151071763D+01  0.106008684D+01 -0.355485171D+00  0.000000000D+00  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.733933628D+00
 0.151143646D+01  0.109891953D+01 -0.360033393D+00  0.000000000D+00 -0.542101086D-19  0.216840434D-18  0.100000000D+01  0.769107819D+00
 0.151219499D+01  0.113928157D+01 -0.365217239D+00  0.000000000D+00  0.000000000D+00  0.433680869D-18  0.100000000D+01  0.946875513D+00
 0.151299381D+01  0.118124503D+01 -0.371094018D+00  0.000000000D+00  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.127742016D+01
 0.151383352D+01  0.122488240D+01 -0.377712637D+00  0.189735380D-18 -0.677626358D-20 -0.216840434D-18  0.100000000D+01  0.175007010D+01
 0.151471460D+01  0.127026607D+01 -0.385107935D+00  0.108420217D-18  0.271050543D-19  0.000000000D+00  0.100000000D+01  0.235991645D+01
 0.151563775D+01  0.131746739D+01 -0.393289089D+00  0.650521303D-18  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.310999775D+01
 0.151660335D+01  0.136655623D+01 -0.402229548D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.400693321D+01
 0.151761210D+01  0.141759992D+01 -0.411845118D+00 -0.130104261D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.505696058D+01
 0.151866400D+01  0.147066289D+01 -0.421982706D+00  0.867361738D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.626343346D+01
 0.151975894D+01  0.152580585D+01 -0.432403743D+00  0.000000000D+00  0.000000000D+00  0.677626358D-19  0.100000000D+01  0.762520122D+01
 0.152089632D+01  0.158308459D+01 -0.442615658D+00  0.173472348D-17  0.000000000D+00 -0.542101086D-19  0.100000000D+01  0.912429333D+01
 0.152203476D+01  0.164052812D+01 -0.451935113D+00  0.000000000D+00  0.542101086D-19  0.000000000D+00  0.100000000D+01  0.107172489D+02
 0.152316451D+01  0.169774172D+01 -0.459770769D+00  0.000000000D+00  0.542101086D-19 -0.216840434D-18  0.100000000D+01  0.123577948D+02
 0.152428138D+01  0.175465619D+01 -0.465586841D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.140134764D+02
 0.152538109D+01  0.181120892D+01 -0.468860507D+00  0.346944695D-17 -0.433680869D-18  0.433680869D-18  0.100000000D+01  0.156570072D+02
 0.152645826D+01  0.186734516D+01 -0.469092399D+00 -0.346944695D-17 -0.433680869D-18  0.000000000D+00  0.100000000D+01  0.172614460D+02
 0.152750695D+01  0.192301968D+01 -0.465795428D+00  0.346944695D-17  0.433680869D-18  0.000000000D+00  0.100000000D+01  0.188027973D+02
 0.152851975D+01  0.197819751D+01 -0.458581060D+00 -0.693889390D-17  0.000000000D+00 -0.433680869D-18  0.100000000D+01  0.202584877D+02
 0.152948821D+01  0.203285443D+01 -0.447108328D+00  0.346944695D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.216098309D+02
 0.153040350D+01  0.208697375D+01 -0.431096196D+00  0.000000000D+00 -0.173472348D-17 -0.867361738D-18  0.100000000D+01  0.228431988D+02
 0.153125668D+01  0.214054584D+01 -0.410350859D+00  0.000000000D+00  0.173472348D-17  0.000000000D+00  0.100000000D+01  0.239479046D+02
 0.153203726D+01  0.219357052D+01 -0.384728372D+00 -0.346944695D-17  0.000000000D+00  0.867361738D-18  0.100000000D+01  0.249159222D+02
 0.153273273D+01  0.224605781D+01 -0.354138225D+00  0.000000000D+00 -0.173472348D-17 -0.867361738D-18  0.100000000D+01  0.257393570D+02
 0.153332806D+01  0.229802809D+01 -0.318524182D+00 -0.693889390D-17 -0.173472348D-17  0.433680869D-18  0.100000000D+01  0.264091396D+02
 0.153380585D+01  0.234951203D+01 -0.277874768D+00 -0.693889390D-17  0.000000000D+00  0.433680869D-18  0.100000000D+01  0.269124889D+02
 0.153414535D+01  0.240055164D+01 -0.232227877D+00  0.000000000D+00  0.346944695D-17  0.216840434D-18  0.100000000D+01  0.272329826D+02
 0.153432262D+01  0.245119956D+01 -0.181689069D+00  0.693889390D-17 -0.693889390D-17  0.000000000D+00  0.100000000D+01  0.273526821D+02
 0.153431296D+01  0.250151326D+01 -0.126443699D+00  0.000000000D+00  0.346944695D-17 -0.813151629D-19  0.100000000D+01  0.272521152D+02
 0.153409314D+01  0.255155049D+01 -0.667761043D-01  0.346944695D-17  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.269068070D+02
 0.153363895D+01  0.260137542D+01 -0.309459097D-02  0.693889390D-17  0.346944695D-17  0.000000000D+00  0.100000000D+01  0.262837124D+02
 0.153292489D+01  0.265105805D+01  0.639785305D-01 -0.346944695D-17  0.346944695D-17  0.000000000D+00  0.100000000D+01  0.253403149D+02
 0.153192699D+01  0.270067204D+01  0.133496255D+00  0.000000000D+00  0.346944695D-17  0.000000000D+00  0.100000000D+01  0.240290489D+02
 0.153062689D+01  0.275029017D+01  0.204025626D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.223081017D+02
 0.152901936D+01  0.279997353D+01  0.273577124D+00 -0.346944695D-17  0.346944695D-17 -0.173472348D-17  0.100000000D+01  0.201551151D+02
 0.152713060D+01  0.284974356D+01  0.339563876D+00 -0.173472348D-17  0.000000000D+00 -0.173472348D-17  0.100000000D+01  0.175742950D+02
 0.152502585D+01  0.289957113D+01  0.399007469D+00  0.173472348D-17  0.346944695D-17 -0.867361738D-18  0.100000000D+01  0.145984220D+02
 0.152281749D+01  0.294935725D+01  0.448736161D+00  0.000000000D+00  0.000000000D+00 -0.867361738D-18  0.100000000D+01  0.112943487D+02
 0.152067649D+01  0.299890016D+01  0.485980123D+00  0.867361738D-18  0.346944695D-17  0.867361738D-18  0.100000000D+01  0.776489830D+01
 0.151884031D+01  0.304784678D+01  0.508807957D+00  0.433680869D-18  0.000000000D+00 -0.433680869D-18  0.100000000D+01  0.414873362D+01
 0.151760018D+01  0.309563907D+01  0.516842485D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.778760016D+00
 0.151726961D+01  0.314144164D+01  0.511199534D+00  0.216840434D-18 -0.433680869D-18 -0.433680869D-18  0.100000000D+01  0.303162408D+01
 0.151714408D+01  0.318729135D+01  0.492850334D+00  0.000000000D+00  0.000000000D+00 -0.130104261D-17  0.100000000D+01  0.637345409D+01
 0.151611912D+01  0.323405721D+01  0.462331414D+00  0.000000000D+00  0.173472348D-17  0.000000000D+00  0.100000000D+01  0.961420727D+01
 0.151464546D+01  0.328151074D+01  0.420789748D+00  0.000000000D+00  0.000000000D+00 -0.867361738D-18  0.100000000D+01  0.126758099D+02
 0.151303947D+01  0.332946530D+01  0.370251000D+00  0.000000000D+00  0.000000000D+00  0.173472348D-17  0.100000000D+01  0.154797249D+02
 0.151150370D+01  0.337780111D+01  0.312969953D+00 -0.173472348D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.179758224D+02
 0.151015008D+01  0.342646742D+01  0.251078010D+00  0.173472348D-17 -0.346944695D-17  0.433680869D-18  0.100000000D+01  0.201453209D+02
 0.150903273D+01  0.347545437D+01  0.186389849D+00  0.346944695D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.219969044D+02
 0.150817096D+01  0.352477463D+01  0.120343424D+00 -0.346944695D-17  0.346944695D-17 -0.433680869D-18  0.100000000D+01  0.235561333D+02
 0.150756311D+01  0.357445303D+01  0.540374443D-01  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.248529262D+02
 0.150719666D+01  0.362451937D+01 -0.116652306D-01 -0.346944695D-17  0.000000000D+00  0.108420217D-18  0.100000000D+01  0.259139023D+02
 0.150705373D+01  0.367500495D+01 -0.760706440D-01  0.000000000D+00  0.346944695D-17  0.000000000D+00  0.100000000D+01  0.267593823D+02
 0.150711072D+01  0.372594606D+01 -0.138599858D+00  0.693889390D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.274051323D+02
 0.150734186D+01  0.377738041D+01 -0.198775485D+00 -0.693889390D-17  0.346944695D-17 -0.433680869D-18  0.100000000D+01  0.278656979D+02
 0.150772321D+01  0.382933814D+01 -0.256191909D+00 -0.693889390D-17 -0.346944695D-17 -0.867361738D-18  0.100000000D+01  0.281547833D+02
 0.150823402D+01  0.388184112D+01 -0.310495764D+00  0.000000000D+00  0.000000000D+00  0.867361738D-18  0.100000000D+01  0.282817955D+02
 0.150885594D+01  0.393490229D+01 -0.361361533D+00 -0.693889390D-17  0.000000000D+00  0.173472348D-17  0.100000000D+01  0.282516174D+02
 0.150957322D+01  0.398852549D+01 -0.408480406D+00  0.000000000D+00  0.346944695D-17 -0.173472348D-17  0.100000000D+01  0.280655651D+02
 0.151037240D+01  0.404270584D+01 -0.451558948D+00  0.000000000D+00  0.000000000D+00  0.867361738D-18  0.100000000D+01  0.277232456D+02
 0.151124179D+01  0.409742952D+01 -0.490337431D+00  0.000000000D+00  0.000000000D+00  0.867361738D-18  0.100000000D+01  0.272235680D+02
 0.151217067D+01  0.415267631D+01 -0.524600923D+00 -0.693889390D-17  0.346944695D-17 -0.867361738D-18  0.100000000D+01  0.265670738D+02
 0.151314843D+01  0.420841955D+01 -0.554204404D+00 -0.693889390D-17 -0.173472348D-17  0.000000000D+00  0.100000000D+01  0.257569103D+02
 0.151416600D+01  0.426462221D+01 -0.579073429D+00 -0.693889390D-17  0.000000000D+00 -0.173472348D-17  0.100000000D+01  0.247990131D+02
 0.151521576D+01  0.432123751D+01 -0.599215686D+00  0.000000000D+00  0.000000000D+00  0.867361738D-18  0.100000000D+01  0.237002487D+02
 0.151629138D+01  0.437820933D+01 -0.614705741D+00  0.693889390D-17 -0.173472348D-17  0.000000000D+00  0.100000000D+01  0.224688244D+02
 0.151738739D+01  0.443547392D+01 -0.625706196D+00  0.693889390D-17  0.867361738D-18  0.000000000D+00  0.100000000D+01  0.211137352D+02
 0.151849914D+01  0.449296121D+01 -0.632447004D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.196469784D+02
 0.151962209D+01  0.455059669D+01 -0.635179222D+00  0.000000000D+00  0.000000000D+00 -0.433680869D-18  0.100000000D+01  0.180837936D+02
 0.152075255D+01  0.460830318D+01 -0.634271145D+00  0.000000000D+00 -0.433680869D-18 -0.433680869D-18  0.100000000D+01  0.164432278D+02
 0.152188635D+01  0.466600307D+01 -0.630172253D+00  0.000000000D+00  0.433680869D-18  0.000000000D+00  0.100000000D+01  0.147497377D+02
 0.152301955D+01  0.472361870D+01 -0.623362720D+00  0.346944695D-17  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.130369053D+02
 0.152414238D+01  0.478075396D+01 -0.614461958D+00  0.000000000D+00  0.108420217D-18  0.000000000D+00  0.100000000D+01  0.113594236D+02
 0.152521455D+01  0.483546511D+01 -0.604267120D+00  0.346944695D-17  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.976985931D+01
 0.152623606D+01  0.488784665D+01 -0.593458176D+00  0.000000000D+00  0.542101086D-19  0.000000000D+00  0.100000000D+01  0.829911995D+01
 0.152720702D+01  0.493799729D+01 -0.582474291D+00  0.000000000D+00  0.542101086D-19  0.108420217D-18  0.100000000D+01  0.696050453D+01
 0.152812779D+01  0.498601871D+01 -0.571649194D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.576144028D+01
 0.152899849D+01  0.503201372D+01 -0.561224282D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.470450592D+01
 0.152981937D+01  0.507608506D+01 -0.551357150D+00  0.433680869D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.378865123D+01
 0.153059042D+01  0.511833367D+01 -0.542143583D+00  0.000000000D+00  0.135525272D-19  0.216840434D-18  0.100000000D+01  0.301091337D+01
 0.153131163D+01  0.515885878D+01 -0.533629358D+00 -0.216840434D-18  0.000000000D+00 -0.433680869D-18  0.100000000D+01  0.236821532D+01
 0.153198338D+01  0.519775514D+01 -0.525823772D+00  0.000000000D+00  0.542101086D-19  0.000000000D+00  0.100000000D+01  0.185910702D+01
 0.153260648D+01  0.523511256D+01 -0.518709838D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.148463881D+01
 0.153318191D+01  0.527101641D+01 -0.512252688D+00 -0.271050543D-19 -0.216840434D-18  0.000000000D+00  0.100000000D+01  0.124525368D+01
 0.153371024D+01  0.530554814D+01 -0.506406128D+00  0.542101086D-19 -0.108420217D-18  0.216840434D-18  0.100000000D+01  0.113067651D+01
 0.153419220D+01  0.533878497D+01 -0.501118779D+00 -0.216840434D-18  0.108420217D-18  0.433680869D-18  0.100000000D+01  0.111126125D+01
 0.153462839D+01  0.537080006D+01 -0.496339381D+00  0.216840434D-18  0.000000000D+00  0.433680869D-18  0.100000000D+01  0.114690351D+01
 0.153501940D+01  0.540166252D+01 -0.492020428D+00  0.000000000D+00  0.216840434D-18  0.000000000D+00  0.100000000D+01  0.120398545D+01
 0.153536570D+01  0.543143770D+01 -0.488122940D+00  0.216840434D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.126160598D+01
 0.153566766D+01  0.546018661D+01 -0.484615087D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.130894911D+01
 0.153592551D+01  0.548796728D+01 -0.481481045D+00 -0.433680869D-18  0.216840434D-18 -0.216840434D-18  0.100000000D+01  0.134173429D+01
 0.153613985D+01  0.551483399D+01 -0.478716672D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.135941291D+01
 0.153631103D+01  0.554083785D+01 -0.476292253D+00  0.000000000D+00  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.136481631D+01
 0.153643918D+01  0.556602660D+01 -0.474208295D+00 -0.216840434D-18  0.216840434D-18 -0.433680869D-18  0.100000000D+01  0.136206067D+01
 0.153652465D+01  0.559044523D+01 -0.472471237D+00 -0.216840434D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.135629654D+01
 0.153656828D+01  0.561413527D+01 -0.471056908D+00  0.000000000D+00 -0.216840434D-18 -0.108420217D-18  0.100000000D+01  0.135434556D+01
 0.153657114D+01  0.563713452D+01 -0.469948351D+00  0.000000000D+00  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.136277413D+01
 0.153653431D+01  0.565947876D+01 -0.469117105D+00  0.216840434D-18  0.000000000D+00  0.108420217D-18  0.100000000D+01  0.138807142D+01
 0.153645897D+01  0.568120122D+01 -0.468529105D+00 -0.216840434D-18  0.216840434D-18 -0.108420217D-18  0.100000000D+01  0.143593037D+01
 0.153634608D+01  0.570233337D+01 -0.468145043D+00 -0.433680869D-18  0.000000000D+00  0.108420217D-18  0.100000000D+01  0.151086450D+01
 0.153619659D+01  0.572290458D+01 -0.467922389D+00  0.216840434D-18  0.000000000D+00  0.108420217D-18  0.100000000D+01  0.161587954D+01
 0.153601181D+01  0.574294249D+01 -0.467816919D+00  0.000000000D+00 -0.216840434D-18 -0.216840434D-18  0.100000000D+01  0.175235462D+01
 0.153579259D+01  0.576247304D+01 -0.467784226D+00  0.216840434D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.192002547D+01
 0.153554010D+01  0.578152055D+01 -0.467780739D+00  0.216840434D-18  0.216840434D-18 -0.108420217D-18  0.100000000D+01  0.211721039D+01
 0.153525531D+01  0.580010783D+01 -0.467764407D+00  0.216840434D-18  0.433680869D-18  0.000000000D+00  0.100000000D+01  0.234102893D+01
 0.153493953D+01  0.581825661D+01 -0.467695355D+00 -0.433680869D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.258764553D+01
 0.153459370D+01  0.583598695D+01 -0.467536181D+00 -0.433680869D-18  0.000000000D+00  0.542101086D-19  0.100000000D+01  0.285250402D+01
 0.153421903D+01  0.585331793D+01 -0.467252314D+00  0.000000000D+00 -0.433680869D-18  0.000000000D+00  0.100000000D+01  0.313060570D+01
 0.153381681D+01  0.587026732D+01 -0.466812372D+00  0.433680869D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.341664457D+01
 0.153338838D+01  0.588685200D+01 -0.466188639D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01  0.370516467D+01
 0.153293502D+01  0.590308751D+01 -0.465357721D+00  0.433680869D-18 -0.867361738D-18  0.000000000D+00  0.100000000D+01  0.399073148D+01
 0.153245807D+01  0.591898871D+01 -0.464301109D+00  0.000000000D+00 -0.867361738D-18  0.000000000D+00  0.100000000D+01  0.426812363D+01
 0.153195941D+01  0.593456889D+01 -0.463005692D+00  0.000000000D+00 -0.867361738D-18  0.000000000D+00  0.100000000D+01  0.453260374D+01
 0.153144085D+01  0.594984048D+01 -0.461463273D+00 -0.867361738D-18  0.867361738D-18  0.677626358D-20  0.100000000D+01  0.477988338D+01
 0.153090429D+01  0.596481494D+01 -0.459669083D+00  0.000000000D+00  0.000000000D+00  0.542101086D-19  0.100000000D+01  0.500620699D+01
 0.153035176D+01  0.597950326D+01 -0.457631439D+00  0.433680869D-18  0.173472348D-17 -0.406575815D-19  0.100000000D+01  0.520861197D+01
 0.152978504D+01  0.599391564D+01 -0.455371082D+00 -0.867361738D-18 -0.173472348D-17  0.135525272D-19  0.100000000D+01  0.538487482D+01
 0.152920616D+01  0.600806195D+01 -0.452876926D+00  0.000000000D+00  0.867361738D-18 -0.542101086D-19  0.100000000D+01  0.553311920D+01
 0.152861702D+01  0.602195116D+01 -0.450151414D+00  0.000000000D+00  0.867361738D-18  0.542101086D-19  0.100000000D+01  0.565212154D+01
 0.152801931D+01  0.603559215D+01 -0.447231501D+00  0.000000000D+00  0.000000000D+00 -0.338813179D-20  0.100000000D+01  0.574146795D+01
 0.152741516D+01  0.604899303D+01 -0.444141209D+00  0.000000000D+00  0.173472348D-17  0.406575815D-19  0.100000000D+01  0.580150414D+01
 0.152680624D+01  0.606216171D+01 -0.440902114D+00 -0.433680869D-18  0.000000000D+00 -0.271050543D-19  0.100000000D+01  0.583314848D+01
 0.152619422D+01  0.607510548D+01 -0.437537402D+00  0.867361738D-18  0.173472348D-17  0.000000000D+00  0.100000000D+01  0.583731604D+01
 0.152558112D+01  0.608783152D+01 -0.434074372D+00 -0.867361738D-18 -0.173472348D-17  0.542101086D-19  0.100000000D+01  0.581532145D+01
 0.152496862D+01  0.610034635D+01 -0.430539250D+00  0.000000000D+00 -0.346944695D-17  0.000000000D+00  0.100000000D+01  0.576896286D+01
 0.152435839D+01  0.611265646D+01 -0.426958203D+00 -0.216840434D-18  0.173472348D-17  0.000000000D+00  0.100000000D+01  0.570029449D+01
 0.152375221D+01  0.612476766D+01 -0.423356205D+00 -0.433680869D-18 -0.173472348D-17  0.000000000D+00  0.100000000D+01  0.561153126D+01
 0.152315187D+01  0.613668567D+01 -0.419754893D+00  0.000000000D+00  0.000000000D+00 -0.108420217D-18  0.100000000D+01  0.550480461D+01
 0.152255881D+01  0.614841584D+01 -0.416178137D+00  0.216840434D-18  0.000000000D+00 -0.216840434D-18  0.100000000D+01  0.538289261D+01
 0.152197552D+01  0.615996195D+01 -0.412645966D+00  0.000000000D+00  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.524803305D+01
 0.152140355D+01  0.617132843D+01 -0.409173667D+00  0.000000000D+00  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.510202599D+01
 0.152084553D+01  0.618251813D+01 -0.405778766D+00 -0.216840434D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01  0.494736624D+01
 0.152030384D+01  0.619353255D+01 -0.402476072D+00  0.325260652D-18 -0.867361738D-18  0.216840434D-18  0.100000000D+01  0.478624582D+01
 0.151978195D+01  0.620437141D+01 -0.399278075D+00 -0.216840434D-18  0.173472348D-17  0.000000000D+00  0.100000000D+01  0.462077951D+01
